Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR16947471,2021-11-18 11:20:56,2021-11-15 11:51:06,19873329,5961998700,19873329,300,2160,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16947/SRR16947471/SRR16947471.lite.1,SRX13139361,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP346133,PRJNA780482,3,780482,SRS11072548,SAMN23162107,simple,686340,Methylomicrobium album BG8,GSM5690625,,,,,,,no,,,,,GEO,SRA1329170,,public,D884EA730FA268FC955D2524BA6BDA74,3F5874BF1F23C14DEE5DF68E1662ABE4
SRR16947472,2021-11-18 11:20:56,2021-11-15 11:55:02,47051322,3999362370,0,85,1337,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16947/SRR16947472/SRR16947472.lite.1,SRX13139362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP346133,PRJNA780482,3,780482,SRS11072549,SAMN23162115,simple,686340,Methylomicrobium album BG8,GSM5690626,,,,,,,no,,,,,GEO,SRA1329170,,public,E58EDF1C1231F7F7B0FBF99CAD45C550,FD7EEBA6811A02F368C8D60DCB936450
SRR16947473,2021-11-18 11:20:56,2021-11-15 11:51:31,24611049,7383314700,24611049,300,2626,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR016/16947/SRR16947473/SRR16947473.lite.1,SRX13139363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP346133,PRJNA780482,3,780482,SRS11072551,SAMN23162124,simple,686340,Methylomicrobium album BG8,GSM5690627,,,,,,,no,,,,,GEO,SRA1329170,,public,754A5BB77F911030EC15E042E59355AC,F60842C234C31B9F67F5D2C781BA4749
SRR16947474,2021-11-18 11:20:56,2021-11-15 11:53:40,38242211,3250587935,0,85,1096,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR016/16947/SRR16947474/SRR16947474.lite.1,SRX13139364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP346133,PRJNA780482,3,780482,SRS11072552,SAMN23162132,simple,686340,Methylomicrobium album BG8,GSM5690628,,,,,,,no,,,,,GEO,SRA1329170,,public,F745A57016422A313D068C46CECA4138,3427F4B27AF5F1D0D709091E007E37EA
SRR17288090,2021-12-25 18:45:11,2021-12-21 10:33:44,41516903,4119635272,0,99,1278,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17288/SRR17288090/SRR17288090.lite.1,SRX13465485,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP351861,PRJNA791232,,791232,SRS11362854,SAMN24271214,simple,243233,Methylococcus capsulatus str. Bath,GSM5745229,,,,,,,no,,,,,GEO,SRA1346807,,public,BA38D207639A3A445BB33498B88B949D,F31E8D4EA3A4DD62307162191A031A65
SRR17288091,2021-12-25 18:45:11,2021-12-21 10:30:42,16263628,1604478727,0,98,503,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17288/SRR17288091/SRR17288091.lite.1,SRX13465486,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP351861,PRJNA791232,,791232,SRS11362855,SAMN24271215,simple,243233,Methylococcus capsulatus str. Bath,GSM5745230,,,,,,,no,,,,,GEO,SRA1346807,,public,8F3FEE9E744A130FB41F74E5D60A2F01,7607A92D1792120463022A6C3289B658
SRR17288092,2021-12-25 18:45:11,2021-12-21 10:37:23,40708553,4033541165,0,99,1254,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288092/SRR17288092.lite.1,SRX13465487,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP351861,PRJNA791232,,791232,SRS11362857,SAMN24271217,simple,243233,Methylococcus capsulatus str. Bath,GSM5745231,,,,,,,no,,,,,GEO,SRA1346807,,public,41FE21A68CDA9E703928E95265AEA69F,5641C2C9C778E08E96B6826E94568EB8
SRR17288093,2021-12-25 18:45:11,2021-12-21 10:27:16,9173599,901527746,0,98,284,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17288/SRR17288093/SRR17288093.lite.1,SRX13465488,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP351861,PRJNA791232,,791232,SRS11362856,SAMN24271218,simple,243233,Methylococcus capsulatus str. Bath,GSM5745232,,,,,,,no,,,,,GEO,SRA1346807,,public,8BB73F290A20BCE08EB563ABA8E6D34E,0697040795CFB75D0EBE8C31033AD257
SRR17288094,2021-12-25 18:45:11,2021-12-21 10:30:16,17933271,1775797100,0,99,557,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288094/SRR17288094.lite.1,SRX13465489,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP351861,PRJNA791232,,791232,SRS11362859,SAMN24271220,simple,243233,Methylococcus capsulatus str. Bath,GSM5745233,,,,,,,no,,,,,GEO,SRA1346807,,public,2AA2A614647F9FFE1AED5825B275FE22,F3BFABAA235B6492AB6AC5C6936BEC1A
SRR17288095,2021-12-25 18:45:12,2021-12-21 10:33:48,21714211,2138482673,0,98,670,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288095/SRR17288095.lite.1,SRX13465490,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP351861,PRJNA791232,,791232,SRS11362858,SAMN24271221,simple,243233,Methylococcus capsulatus str. Bath,GSM5745234,,,,,,,no,,,,,GEO,SRA1346807,,public,BE367C07B256138F13AAAFD64F272BFA,F66D8A2EB50FB2DB41528A681E144E83
SRR17288096,2021-12-25 18:45:12,2021-12-21 10:33:50,28422332,2807590939,0,98,875,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17288/SRR17288096/SRR17288096.lite.1,SRX13465491,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP351861,PRJNA791232,,791232,SRS11362860,SAMN24271223,simple,243233,Methylococcus capsulatus str. Bath,GSM5745235,,,,,,,no,,,,,GEO,SRA1346807,,public,12401909304F0EDC172CF006831E0E86,CA5376D4F404C7737FF8911E22168174
SRR17288097,2021-12-25 18:45:12,2021-12-21 10:33:05,23051068,2243845564,0,97,707,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR017/17288/SRR17288097/SRR17288097.lite.1,SRX13465492,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP351861,PRJNA791232,,791232,SRS11362861,SAMN24271224,simple,243233,Methylococcus capsulatus str. Bath,GSM5745236,,,,,,,no,,,,,GEO,SRA1346807,,public,65CF2FE5332A700384A1D05DD424DD65,C8AA03FC8AED2DCC4B9ACC11421E48DF
SRR17288098,2021-12-25 18:45:12,2021-12-21 10:37:37,34053265,3374536611,0,99,1051,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17288/SRR17288098/SRR17288098.lite.1,SRX13465493,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP351861,PRJNA791232,,791232,SRS11362862,SAMN24271226,simple,243233,Methylococcus capsulatus str. Bath,GSM5745237,,,,,,,no,,,,,GEO,SRA1346807,,public,FE92BA8A3B2D191E7618F03599A45625,C9C5C7844B8B5E844A845CEADC393288
SRR17288099,2021-12-25 18:45:12,2021-12-21 10:34:45,31378883,3106712709,0,99,966,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17288/SRR17288099/SRR17288099.lite.1,SRX13465494,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP351861,PRJNA791232,,791232,SRS11362863,SAMN24271227,simple,243233,Methylococcus capsulatus str. Bath,GSM5745238,,,,,,,no,,,,,GEO,SRA1346807,,public,5E770BB0A7CCD689A9E26B2F1CFCD84A,FBE7EEF34D15D53B5973252B32E6032E
SRR17288100,2021-12-25 18:45:12,2021-12-21 10:39:25,36693983,3641928478,0,99,1131,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17288/SRR17288100/SRR17288100.lite.1,SRX13465495,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP351861,PRJNA791232,,791232,SRS11362864,SAMN24271229,simple,243233,Methylococcus capsulatus str. Bath,GSM5745239,,,,,,,no,,,,,GEO,SRA1346807,,public,8C6A033B0C81E3D5ACAE2992F2822107,1206065C0B9A9EBC0F40567C3A4C1343
SRR17288101,2021-12-25 18:45:12,2021-12-21 10:32:28,33567250,3334256398,0,99,1036,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17288/SRR17288101/SRR17288101.lite.1,SRX13465496,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP351861,PRJNA791232,,791232,SRS11362866,SAMN24271230,simple,243233,Methylococcus capsulatus str. Bath,GSM5745240,,,,,,,no,,,,,GEO,SRA1346807,,public,1B0A6BC908009A4B9A3204E3676F9C8B,EB59958D007E06ADB9ADB767CBA643B1
SRR17288102,2021-12-25 18:45:12,2021-12-21 10:34:15,42384756,4209582926,0,99,1332,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288102/SRR17288102.lite.1,SRX13465497,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP351861,PRJNA791232,,791232,SRS11362865,SAMN24271231,simple,243233,Methylococcus capsulatus str. Bath,GSM5745241,,,,,,,no,,,,,GEO,SRA1346807,,public,C1B646A04D10C534C993C4B70AA2AA45,B77D9BBF9BFDBB217613DD145FD2E4CD
SRR17288103,2021-12-25 18:45:12,2021-12-21 10:45:17,55133518,5475810357,0,99,1699,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17288/SRR17288103/SRR17288103.lite.1,SRX13465498,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP351861,PRJNA791232,,791232,SRS11362868,SAMN24271233,simple,243233,Methylococcus capsulatus str. Bath,GSM5745242,,,,,,,no,,,,,GEO,SRA1346807,,public,C6B9818A1021A77675DE5627B1E47F28,B9001C6DBE70D98967E558C9D607B4D3
